descricao,problema
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Rotina - Backup Full 22 horas<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: O backup de alguns Bancos de Dados não estão sendo feitos<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Não se aplica<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Realizar o Backup dos bancos de Dados<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Perda das atualizações feitas nos bancos de dados<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: O mais breve possível<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não se aplica<br><br><b> Informações Adicionais:  </b><br>","Backup/Restauração de Arquivos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Acessar o computador.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Após digitar o login e a senha aparece a seguinte mensagem de erro: ""Falha na relação de confiança entre a estação de trabalho e o domínio primário"".<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Não é possível anexar.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Necessidade de acessar estação de trabalho.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Alto.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: Com urgência.<div><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não é o caso.&nbsp;<br><br><b> Informações Adicionais:</b></div><div><b><br></b></div><div><b>A funcionária Cláudia Rosane está tentando acessar a estação de trabalho e aparece a mensagem de erro informada acima. &nbsp;&nbsp;</b><br></div>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"
                <b style=""font-variant: small-caps; font-size: medium;"">Comunicado Interno</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
                <b>Título da mensagem: </b><span name=""r_titulo"">ARQUIVO CENTRAL</span><br>
                <b>Data e hora do evento: </b><span name=""r_data"">28/06/2017</span> às <span name=""r_horaini"">14</span><br>
                <b>Local de realização: </b><span name=""r_local"">FBB</span><br>
                <b>Conta como hora de treinamento? </b><span name=""rbPergunta01"">Não</span><br>
                <b>Código FIP a ser utilizado: </b><span name=""codigoFIP"">0</span><br>
                <b>Texto da mensagem: </b><br><span name=""r_textomsg"">Envio de documentos / mudança CCBB</span><br>
            ","Comunicação Interna"
"Favor reservar a sala JK nos dias: 04, 05, 06 e 07 de julho, a manhã toda, para as oficinas de Nota Técnica. Obrigada.<br>","Reserva de espaço"
"Solicito reserva da Sala JK para hoje, pela manhã.<br>","Reserva de espaço"
"Marcos, por gentileza, reservar sala JK para amanhã, 27.jun, 15h30 às 16h30, para reunião Getec + Valter.<br>Obrigado.<br>","Reserva de espaço"
"Solicitamos cópia da chave do armário número de patrimônio: 01432.","Problema Padrão - GEPIN"
"Solicito cartucho de tinta preta (nr. 122) para a impressora HP Deskjet 2050 da Secex.&nbsp;","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Imprimir NF para autorização de pagamento/prestação de contas.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Tela de Erro.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Vide anexo.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Imprimir documentos.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Impedimento de conclusão de fluxo de pagamento e implicação negativa em ATB.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: Diariamente.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não.<br><br><b> Informações Adicionais:  </b><br><div>Obs.:</div><div>a) Impressora Samsung com apresentação de Erro no Windows.</div><div>b) Impressora HP com falta de tonner. Suporte&nbsp;46576.</div><div><b><br></b></div>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: enviar arquivos pesados pelo site wetransfer<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: envio de informações importantes para colaborador da FBB<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Software - Instalação / Configuração / Desinstalação"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: impressão de documentos<span class=""Apple-tab-span"" style=""white-space:pre"">	</span><br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: tonner ruim<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: n/a<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: n/a<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: n/a<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: n/a<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: n/a<br><br><b> Informações Adicionais: Solicitamos troca do tonner da impressora HP 5494 da GEPRO</b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Prezados, solicito declaração que comprove meu vínculo empregatício com o Banco do Brasil. Grato.","Problema Padrão - GEPIN"
"Solicito a análise tributária NF 202 - PCONT 06 - Projeto 14.660. A 
Declaração está disponível no Geate/Publico/Res Sólidos/Cataforte 3/Prod
 das Bases/ 14.660 - pasta CONTABIL<br>","Impostos/Tributos – Cálculo/Emissão Guias"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Colocamos arquivos .pdf no repositório do K2 e qdo enviamos o link, o usuário recebe um alerta de vírus/arquivos prejudiciais ao computador. Segue imagem do alerta.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Portal FBB/Intranet FBB/Hotsites FBB - Manutenção Corretiva"
"Favor cadastrar meu endereço de e-mail no servidor de impressão: <b>priscila.martinelli@fbb.org.br</b><div>Informo que essa solicitação já foi feita por meio do suporte 45884 e tinha sido atendida. Porém, o endereço foi novamente excluído do servidor.</div><div>Obrigada</div>","Software - Instalação / Configuração / Desinstalação"
"Bom dia,<div>REF. PROGRAMA TERRA FORTE - SEDEX PARA BNDES-RJ.</div><div>Peço a gentileza em encaminhar envelope ao BNDES/RJ pela via mais urgente possível.</div><div>Grato.</div>","Problema Padrão - GEPIN"
"Solicito a recuperação dos arquivos que estavam no HD do PC substituído, conforme chamado 46144.<br>Obrigada<b>.</b><br>","Software - Instalação / Configuração / Desinstalação"
,"Publicação no DOU"
"sSolicito a análise tributária NF 1671 - PGP 03 - Projeto 14.568. A Declaração está disponível no Geate/Publico/Res Sólidos/Cataforte 3/Prod das Bases/ 14.568 - pasta Participativa<br>","Impostos/Tributos – Cálculo/Emissão Guias"
"Solicito a análise tributária NF 2017/32 - Projeto 14.557- MOB 10. A instituição não apresentou declaração<br>","Impostos/Tributos – Cálculo/Emissão Guias"
"<br><b>Relatórios - Plano de Ações estratégicas: excluir linhas duplicadas e retirar cor azul, manter as cores verde, vermelho e amarelo.</b><br><b></b>","BI - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Acessar o site do BB<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Atualização do sistema de segurança<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Peço orientação quanto ao registro de trânsito em dia não útil para o funci Paulo Roberto Neil Magalhães. Para cumprimento de missão em Natal/RN, ele se deslocou no domingo, 25/06, com autorização do gestor. Porém, o Ponto Soft não está permitindo o registro do código 468 (IN 377-1 item 1.5.3).",Funcionalismo
"Favor reservar a sala de treinamento do 18º andar de 27/06 a 14/07 para a comissão de seleção do edital Ecoforte Extrativismo.","Reserva de espaço"
"Solicito reserva da sala de informática, no 18º, para hoje durante todo o dia.<br><br>Obrigado.<br>","Reserva de espaço"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 22 - PNS 6 - Projeto 14.458.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.458 - Pasta Negócios.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"Solicitamos verificar lâmpadas do setor.","Problema Padrão - GEPIN"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 148 - PCONT 2 - Projeto 14.922.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.922 - Pasta Contab.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 114 - PCONT 5 - Projeto 14.569.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.569 - Pasta Contab.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 25 - MOB 10 - Projeto 14.561.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.561 - Pasta Mobiliz.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 24 - MOB 11 - Projeto 14.561.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.561 - Pasta Mobiliz.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
"<span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">Solicitamos análise tributária da NF 23 - MOB 9 - Projeto 14.561.&nbsp;A declaração</span><span style=""font-family: tahoma; font-size: 13.5pt; line-height: 20.7px; background-color: rgb(255, 255, 255);"">&nbsp;</span><span style=""font-family: tahoma; font-size: 11px; background-color: rgb(255, 255, 255);"">está disponível no endereço Geate/Publico/Resíduos Sólidos/Cataforte III/Produto das Bases/14.561 - Pasta Mobiliz.</span>","Impostos/Tributos – Cálculo/Emissão Guias"
